spam,text
ham,"Subject: naturally irresistible your corporate identity  lt is really hard to recollect a company : the  market is full of suqgestions and the information isoverwhelminq ; but a good  catchy logo , stylish statlonery and outstanding website  will make the task much easier .  we do not promise that havinq ordered a iogo your  company will automaticaily become a world ieader : it isguite ciear that  without good products , effective business organization and practicable aim it  will be hotat nowadays market ; but we do promise that your marketing efforts  will become much more effective . here is the list of clear  benefits : creativeness : hand - made , original logos , specially done  to reflect your distinctive company image . convenience : logo and stationery  are provided in all formats ; easy - to - use content management system letsyou  change your website content and even its structure . promptness : you  will see logo drafts within three business days . affordability : your  marketing break - through shouldn ' t make gaps in your budget . 100 % satisfaction  guaranteed : we provide unlimited amount of changes with no extra fees for you to  be surethat you will love the result of this collaboration . have a look at our  portfolio _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ not interested . . . _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _"
ham,"Subject: do not have money , get software cds from here !  software compatibility . . . . ain ' t it great ?  grow old along with me the best is yet to be .  all tradgedies are finish ' d by death . all comedies are ended by marriage ."
ham,Subject: security alert - confirm your national credit union information  - - > 
ham,"Subject: any med for your girl to be happy !  your girl is unsatisfied with your potency ? don ' t wait until she finds another men !  click here to choose from a great variety of llcensed love t @ bs ! best pri $ es , fast shippinq and guaranteed effect ! here you buy it riqht from warehouse !  the store is verified by bbb and approved by visa ! "
ham,"Subject: justt try lt  hello , welcome to pharmon emphases line sh pudenda op  - one of the leading oniine traction pharmaceutical shops  hydrargyrum v  disciplinary g  underdid al  fulvous ll  l polder a  bugler rac cuboid l  polished is rectorial va  intrigue um  andmanyother .  - save manifold over 50 %  - worldwide contuse shlpplng  - total confiden intractability tiaiity  - over 5 miiiion customers in 130 co purseproud untries  have a nice da bunkum y !"
ham,"Subject: how about obtaining a fully recognized university degree ? 231175433222211111111  obtain a prosperous future , money earning power ,  and the admiration of all .  degrees from prestigious accredited  universities based on your present knowledge  and life experience .  call now to receive your diploma  within days ! ! !  1 425 790 3463  no required tests , classes , books , or interviews .  bachelors , masters , mba , and doctorate ( phd )  diplomas available in the field of your choice .  no one is turned down .  confidentiality assured .  call now to receive your diploma  within days ! ! !  1 425 790 3463  call 24 hours a day , 7 days a week , including  sundays and holidays .  231175433222211111111"
ham,"Subject: notification .  email transmission  to : beneficiary  from : mr . alex williams  wire transfer department . .  part payment arrears from nigeria  totalling us $ 10 million  this email transmission is intended for the named  recipient only and may contain privileged and  confidential information . if you have received this  email in error , please notify us immediately . please  do not disclose the contents to anyone or copy it to  outside parties .  thank you .  message .  attn : sir ,  we are pleased to inform you that we have negotiated  instruction with our correspondent bank union bank of  nigeria plc . ( ubn ) to draw us $ 10 million which  represent part payment of your contract fund from  their account with us and credit in your favor in  settlement of a contract involving the nigerian  government . the transfer is irrevocable , indivisible  and non - transferable .  this transaction has been secured with personal  identification computerized sealed numbers , contract  accreditation pin no , transfer access code ( tag ) and  anti terrorist clearance certificate to enable us  identify the bonfire beneficiary and to avoid  diversion of the fund to wrong account .  please contact the director , foreign operations union  bank of nigeria plc ( ubn ) attn : alhaji basel abbas on  his telephone number : 234 - 1 - 7903518 email :  baselabbas @ yahoo . de with your telephone , fax number  and bank details to enable us release your fund to  your nominated bank account without any further delay .  if we do not receive this your information for  re - confirmation from you within 7 days from date of  this email the transfer will be null and void as we  have many contractors to pay . be it known to you that  your transfer charge of 0 . 1 % will be deducted from the  total sum before final transfer to your account , you  are advised to act fast regarding to this subject  matter as we have a limited time to conclude all  payment in this second quarter of the year .  for further enquiry you can contact this bank with the  above telephone number . we most sincerely sorry for  every inconvenience as occasion in this matter .  yours truly ,  hsbc  wire transfer processing div .  madrid spain .  mr . alex williams  senior managing director  security & investigation  h . s . b . c .  wire transfer processing division  12 , calle street , del carlos leganes madrid spain .  gl 32 by u > k honbank swift hbcbk 353  00 999 0367826 8366410  registered in u . k number 720662 . registered office :  12 , calle street del  carlos leganes madrid , spain ."
ham,"Subject: congratualtions zzzz 8969 ! ! !  you ' re  a winner !  dear traveler ,  congratulations  you may be one of our lucky winners !  you may be spending  your next vacation in beautiful orlando florida !  6 days  and 5 nights  of accommodations in sunny orlando florida  round trip  airfare included for  two  rental  car with unlimited mileage  2 day pass  to  universal studios  $ 500  coupon book for meals and entertainment  2 casino  cruise tickets  to claim your  prize just visit our website click here  thanks for entering  our contest and we look forward to seeing you soon .  sincerely ,  jacqueline o ' connor  director of promotoins  p . s . youve  got to hurry . if you dont claim your vacation in the next 24 hours  it may be gone . availability is limited . so dont wait ,  click  here today .  to be excluded from future promotions click here "
spam,"Subject: re : parking space at 777 clay street for summer interns  hi louis :  we will take it !  listed below are the individuals that will be using the spot .  june lst - july 30 th vince kaminski  july 31 st - august 18 th matthew williams ( london )  august 21 st - sept . 15 th steven leppard ( london )  sept . 18 th - oct . 13 th kirstee hewitt ( london )  oct . 16 th - nov . 10 th ben parsons ( london )  june lst - july 30 th should be billed to vince kaminski - co . # 0011 and  rc # 100038  july 31 st - nov . 10 th should be billed to the london office - i have  requested their co # and rc # and will forward it to you when i get it .  thanks louis !  shirley crenshaw  3 - 5290  louis allen @  ect  06 / 01 / 2000 10 : 11 am  to : shirley crenshaw / hou / ect @ ect @ enron  cc :  subject : re : parking space at 777 clay street for summer interns  hi shirley ,  i have one ( 1 ) space available at 777 clay garage .  please let me know who the summer intern is thats needing a space .  please advise asap .  thanks , louis  shirley crenshaw @ ect  05 / 15 / 2000 11 : 36 am  to : louis allen @ enron  cc :  subject : parking space at 777 clay street for summer interns  good morning louis :  we would like to requst a parking spot at 777 clay street for the months of  june , july , august and september .  we will have 3 employees from the london office that will be rotating on  special assignment to our group .  is there a way that we can go ahead and reserve the spot and i will let  you know the car information and driver information as they come ?  our co . # is 0011 and our rc # is 100038 .  thanks !  shirley  3 - 5290"
